,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ols.r.squared,mcelroy.r.squared,obs,df,residCor,dwtest_opex,dwtest_stock
1,eq1_(Intercept),-0.32701133,0.039575084,-8.263060838,2.22045E-16,-0.404628126,-0.249394533,0.540677691,0.541652982,2383,3669,0.18918108,2.068725374,1.920343539
2,eq1_gross_returns_perha_log_lag,0.018764062,0.018627441,1.007334387,0.313906559,-0.017769083,0.055297207,,,,,,,
3,eq1_exp_total_perha_log_lag,0.252107209,0.027119821,9.296049804,0,0.198918348,0.305296069,,,,,,,
4,eq1_stock_opening_perha_log_lag,0.01018138,0.016696301,0.609798539,0.542070565,-0.022564309,0.04292707,,,,,,,
5,eq1_assets_less_stock_perha_log_lag,0.163402268,0.019291032,8.470374524,0,0.125567652,0.201236884,,,,,,,
6,eq1_output_prices_lag,0.064954734,0.066330678,0.979256294,0.327582093,-0.06513658,0.195046048,,,,,,,
7,eq1_fitted_opex,1.161609719,0.243805083,4.764501652,2.04163E-06,0.683446002,1.639773436,,,,,,,
8,eq1_year,0.029189173,0.002959473,9.862963704,0,0.023384895,0.034993452,,,,,,,
9,eq2_(Intercept),0.111622056,0.039826582,2.802702406,0.005121074,0.033511701,0.189732412,,,,,,,
10,eq2_gross_returns_perha_log_lag,0.079310531,0.018434175,4.302364072,1.77909E-05,0.043156287,0.115464775,,,,,,,
11,eq2_exp_total_perha_log_lag,-0.061609649,0.027395018,-2.24893623,0.024635124,-0.115338454,-0.007880845,,,,,,,
12,eq2_stock_opening_perha_log_lag,0.3863489,0.021453735,18.00846763,0,0.344272507,0.428425293,,,,,,,
13,eq2_assets_less_stock_perha_log_lag,0.825529923,0.020640534,39.99557084,0,0.785048431,0.866011414,,,,,,,
14,eq2_gross_returns_perha_log_lag_2,0.034502713,0.019376194,1.780675491,0.075131421,-0.003499076,0.072504503,,,,,,,
15,eq2_exp_total_perha_log_lag_2,0.037544694,0.027647558,1.357975072,0.174639089,-0.016679406,0.091768795,,,,,,,
16,eq2_stock_opening_perha_log_lag_2,-0.019427695,0.016866491,-1.15185161,0.249532595,-0.052507302,0.013651911,,,,,,,
17,eq2_assets_less_stock_perha_log_lag_2,-0.31298968,0.026435288,-11.83984394,0,-0.364836202,-0.261143159,,,,,,,
18,eq2_output_prices_lag,0.070943234,0.065532351,1.082568124,0.279142862,-0.057582866,0.199469335,,,,,,,
19,eq2_fitted_stock,1.250425977,0.148140526,8.440809616,0,0.959883614,1.540968341,,,,,,,
20,eq2_year,-0.010860653,0.002963684,-3.664579054,0.000254807,-0.016673212,-0.005048093,,,,,,,
