,term,estimate,std.error,statistic,p.value,ols.r.squared,adjusted.r.squared,obs,df,fstat,dw_test
1,gross_returns_perha_log_lag,-0.272474228,0.060379526,-4.512692405,6.84038E-06,0.160404682,0.090726672,2383,1699,29.50854036,2.018709839
2,I(gross_returns_perha_log_lag^2),0.035181965,0.006061628,5.804045396,7.70757E-09,,,,,,
3,pred_opex_3,-0.265410305,0.323980123,-0.819217867,0.41277702,,,,,,
4,I(pred_opex_3^2),0.066170262,0.025615587,2.583202997,0.00987167,,,,,,
5,pred_stock_3,0.373220753,0.100579796,3.710693091,0.000213348,,,,,,
6,I(pred_stock_3^2),-0.060975907,0.010473708,-5.821806821,6.94577E-09,,,,,,
7,assets_less_stock_perha_log,-0.078420812,0.071706667,-1.093633488,0.274270785,,,,,,
8,I(assets_less_stock_perha_log^2),0.031174178,0.006827047,4.566275913,5.32169E-06,,,,,,
9,output_prices,0.132783173,0.104353659,1.272434275,0.203392972,,,,,,
10,fitted_revenue,1.432350041,0.167226001,8.565354875,2.37621E-17,,,,,,
11,year,-0.027774268,0.008190204,-3.391157224,0.000711933,,,,,,
