,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ols.r.squared,mcelroy.r.squared,obs,df,residCor,dwtest_opex,dwtest_stock
1,eq1_(Intercept),-0.369139471,0.04226538,-8.733849517,0,-0.45206522,-0.286213722,0.696072053,0.725410116,1532,2299,0.157887229,2.049938091,1.966354648
2,eq1_gross_returns_perha_log_lag,0.033687565,0.023293225,1.446238741,0.148382258,-0.012014334,0.079389464,,,,,,,
3,eq1_exp_total_perha_log_lag,0.29773714,0.037130432,8.018682455,2.66454E-15,0.224886291,0.370587989,,,,,,,
4,eq1_stock_opening_perha_log_lag,0.002453622,0.019883351,0.123400826,0.901811229,-0.036558017,0.04146526,,,,,,,
5,eq1_assets_less_stock_perha_log_lag,0.133398349,0.020566601,6.486163949,1.30405E-10,0.093046155,0.173750543,,,,,,,
6,eq1_output_prices_lag,0.071561626,0.064173734,1.1151233,0.265030158,-0.054348869,0.197472121,,,,,,,
7,eq1_fitted_opex,1.221578908,0.218918371,5.580065781,2.99545E-08,0.79205551,1.651102307,,,,,,,
8,eq1_year,0.033434695,0.003200764,10.44584801,0,0.027154715,0.039714676,,,,,,,
9,eq2_(Intercept),0.048289745,0.038449441,1.2559284,0.209397693,-0.02714938,0.123728871,,,,,,,
10,eq2_gross_returns_perha_log_lag,0.059219353,0.019801107,2.990709191,0.002842714,0.0203689,0.098069806,,,,,,,
11,eq2_exp_total_perha_log_lag,-0.106132144,0.032782346,-3.237478595,0.001240435,-0.170452234,-0.041812054,,,,,,,
12,eq2_stock_opening_perha_log_lag,0.550217757,0.026698928,20.60823387,0,0.497833542,0.602601972,,,,,,,
13,eq2_assets_less_stock_perha_log_lag,0.903177207,0.017898671,50.46057496,0,0.8680594,0.938295014,,,,,,,
14,eq2_gross_returns_perha_log_lag_2,-0.030827828,0.020526194,-1.501877495,0.133403987,-0.071100925,0.009445269,,,,,,,
15,eq2_exp_total_perha_log_lag_2,0.061750759,0.03333857,1.852231786,0.064249335,-0.003660661,0.12716218,,,,,,,
16,eq2_stock_opening_perha_log_lag_2,-4.23648E-05,0.017950388,-0.002360103,0.998117322,-0.035261643,0.035176913,,,,,,,
17,eq2_assets_less_stock_perha_log_lag_2,-0.481519949,0.028441044,-16.93045982,0,-0.537322254,-0.425717643,,,,,,,
18,eq2_output_prices_lag,0.043105139,0.054459431,0.791509174,0.42881057,-0.063746136,0.149956414,,,,,,,
19,eq2_fitted_stock,1.112404178,0.12683529,8.770462714,0,0.863548981,1.361259376,,,,,,,
20,eq2_year,-0.004651385,0.0028909,-1.608974769,0.107897039,-0.010323429,0.00102066,,,,,,,
