,term,estimate,std.error,statistic,p.value,ols.r.squared,adjusted.r.squared,obs,df,fstat,dw_test
1,gross_returns_perha_log_lag,-0.216853991,0.087217852,-2.486348674,0.013058517,0.173037121,0.100823461,1532,1065,20.25863534,2.055931575
2,I(gross_returns_perha_log_lag^2),0.028811401,0.009790379,2.942828054,0.003322784,,,,,,
3,pred_opex_3,0.772157401,0.233879483,3.301518333,0.000993556,,,,,,
4,I(pred_opex_3^2),0.008374035,0.01955472,0.428235976,0.668565914,,,,,,
5,pred_stock_3,0.078794859,0.092804817,0.849038454,0.396050696,,,,,,
6,I(pred_stock_3^2),-0.018585599,0.012667161,-1.467226848,0.142609589,,,,,,
7,assets_less_stock_perha_log,-0.205764683,0.086535008,-2.377820137,0.017591017,,,,,,
8,I(assets_less_stock_perha_log^2),0.043389741,0.011663831,3.720024854,0.0002096,,,,,,
9,output_prices,0.074053954,0.1092101,0.678087047,0.497863799,,,,,,
10,fitted_revenue,1.352532457,0.151188959,8.945973721,1.6006E-18,,,,,,
11,year,-0.033929552,0.00959413,-3.536490863,0.000422929,,,,,,
