,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ols.r.squared,mcelroy.r.squared,obs,df,residCor,dwtest_opex,dwtest_stock
1,eq1_(Intercept),-0.246543103,0.034898573,-7.064561202,2.23555E-12,-0.314985661,-0.178100544,0.405644325,0.35559449,2563,3882,0.158577123,2.074504199,1.98497133
2,eq1_gross_returns_perha_log_lag,-0.02262324,0.013857026,-1.632618689,0.102711167,-0.049799432,0.004552952,,,,,,,
3,eq1_exp_total_perha_log_lag,0.268776968,0.026531009,10.13067267,0,0.21674475,0.320809185,,,,,,,
4,eq1_stock_opening_perha_log_lag,0.019228666,0.012110161,1.587812629,0.112491335,-0.0045216,0.042978931,,,,,,,
5,eq1_assets_less_stock_perha_log_lag,0.184644979,0.018462643,10.00100474,0,0.14843632,0.220853638,,,,,,,
6,eq1_output_prices_lag,0.11797718,0.06353494,1.856886627,0.063478449,-0.006626593,0.242580953,,,,,,,
7,eq1_fitted_opex,1.103138652,0.186228767,5.923567385,3.71656E-09,0.737909581,1.468367724,,,,,,,
8,eq1_year,0.022848398,0.002619723,8.721685622,0,0.017710637,0.027986158,,,,,,,
9,eq2_(Intercept),-0.086196158,0.05937954,-1.451613765,0.146770884,-0.202650647,0.030258332,,,,,,,
10,eq2_gross_returns_perha_log_lag,0.023117948,0.021825163,1.059233698,0.28962536,-0.019685317,0.065921213,,,,,,,
11,eq2_exp_total_perha_log_lag,0.015205074,0.04291127,0.35433753,0.723124494,-0.06895203,0.099362177,,,,,,,
12,eq2_stock_opening_perha_log_lag,0.41785091,0.022152427,18.86253447,0,0.374405819,0.461296001,,,,,,,
13,eq2_assets_less_stock_perha_log_lag,0.817607187,0.034911185,23.41963412,0,0.74913976,0.886074613,,,,,,,
14,eq2_gross_returns_perha_log_lag_2,0.012046341,0.023592765,0.510594728,0.609693021,-0.034223525,0.058316208,,,,,,,
15,eq2_exp_total_perha_log_lag_2,-0.01741993,0.043283507,-0.402461139,0.687389068,-0.10230706,0.067467201,,,,,,,
16,eq2_stock_opening_perha_log_lag_2,0.02477381,0.019911527,1.244194394,0.213578482,-0.014276454,0.063824075,,,,,,,
17,eq2_assets_less_stock_perha_log_lag_2,-0.362611295,0.039167934,-9.25786118,0,-0.439427008,-0.285795581,,,,,,,
18,eq2_output_prices_lag,-0.054847766,0.101050681,-0.542774825,0.587347261,-0.253027231,0.1433317,,,,,,,
19,eq2_fitted_stock,1.427601043,0.230067352,6.205143976,6.66445E-10,0.976395525,1.878806561,,,,,,,
20,eq2_year,0.002951773,0.004356784,0.677511796,0.498162158,-0.005592704,0.011496249,,,,,,,
