,term,estimate,std.error,statistic,p.value,ols.r.squared,adjusted.r.squared,obs,df,fstat,dw_test
1,gross_returns_perha_log_lag,-0.106910667,0.035382149,-3.021599076,0.002549817,0.109778529,0.037691821,2563,1803,20.21260938,2.01677214
2,I(gross_returns_perha_log_lag^2),0.013341937,0.005348621,2.494462902,0.012703702,,,,,,
3,pred_opex_3,1.320882363,0.531160405,2.486786197,0.012980152,,,,,,
4,I(pred_opex_3^2),-0.057566585,0.037775476,-1.523914222,0.127705511,,,,,,
5,pred_stock_3,0.428335827,0.134509681,3.184423784,0.001475196,,,,,,
6,I(pred_stock_3^2),-0.070148123,0.014788359,-4.743468946,2.26615E-06,,,,,,
7,assets_less_stock_perha_log,-0.065971875,0.101533393,-0.649755451,0.515932969,,,,,,
8,I(assets_less_stock_perha_log^2),0.042653434,0.009724147,4.38634188,1.21934E-05,,,,,,
9,output_prices,0.223872014,0.132392416,1.690973106,0.091014769,,,,,,
10,fitted_revenue,1.069955727,0.225664719,4.741351379,2.28967E-06,,,,,,
11,year,-0.017892109,0.007925638,-2.257497592,0.024096189,,,,,,
