,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ols.r.squared,mcelroy.r.squared,obs,df,residCor,dwtest_opex,dwtest_stock
1,eq1_(Intercept),-0.199287365,0.030756603,-6.479498507,1.06391E-10,-0.259592341,-0.138982388,0.566752426,0.553949319,4113,6301,0.229885589,2.050555021,2.07167613
2,eq1_gross_returns_perha_log_lag,0.008189626,0.013946536,0.587215759,0.557100842,-0.019155577,0.035534828,,,,,,,
3,eq1_exp_total_perha_log_lag,0.498749125,0.018343095,27.19002052,0,0.462783518,0.534714732,,,,,,,
4,eq1_stock_opening_perha_log_lag,0.014883425,0.013931082,1.068361017,0.285439456,-0.012431477,0.042198327,,,,,,,
5,eq1_assets_less_stock_perha_log_lag,0.165560621,0.015884796,10.42258395,0,0.134415041,0.196706202,,,,,,,
6,eq1_output_prices_lag,0.005891271,0.060924852,0.096697343,0.922972893,-0.113565086,0.125347629,,,,,,,
7,eq1_fitted_opex,0.893312064,0.238769888,3.741309555,0.000186323,0.425152025,1.361472102,,,,,,,
8,eq1_year,0.019512275,0.002270781,8.592757842,0,0.015059917,0.023964634,,,,,,,
9,eq2_(Intercept),0.155441173,0.030653475,5.070915196,4.18816E-07,0.09533835,0.215543996,,,,,,,
10,eq2_gross_returns_perha_log_lag,0.031008083,0.014575437,2.1274204,0.033462715,0.002429759,0.059586406,,,,,,,
11,eq2_exp_total_perha_log_lag,-0.006518911,0.02040949,-0.319405886,0.749439948,-0.046536167,0.033498345,,,,,,,
12,eq2_stock_opening_perha_log_lag,0.454389255,0.017165083,26.4717195,0,0.420733367,0.488045143,,,,,,,
13,eq2_assets_less_stock_perha_log_lag,0.751800429,0.018110706,41.51138212,0,0.71629044,0.787310417,,,,,,,
14,eq2_gross_returns_perha_log_lag_2,0.013081865,0.014388695,0.909176612,0.36332653,-0.015130309,0.041294038,,,,,,,
15,eq2_exp_total_perha_log_lag_2,0.017717425,0.020286257,0.873370809,0.382527633,-0.022058207,0.057493057,,,,,,,
16,eq2_stock_opening_perha_log_lag_2,0.042942505,0.014560412,2.949264416,0.003208779,0.014393642,0.071491367,,,,,,,
17,eq2_assets_less_stock_perha_log_lag_2,-0.366803016,0.021470117,-17.0843507,0,-0.408899863,-0.324706168,,,,,,,
18,eq2_output_prices_lag,-0.095557894,0.062186688,-1.536629411,0.124484615,-0.217488459,0.026372671,,,,,,,
19,eq2_fitted_stock,1.163082724,0.119481754,9.734396146,0,0.928812688,1.39735276,,,,,,,
20,eq2_year,-0.014691976,0.002267249,-6.480088826,1.06015E-10,-0.019137413,-0.01024654,,,,,,,
