,term,estimate,std.error,statistic,p.value,ols.r.squared,adjusted.r.squared,obs,df,fstat,dw_test
1,gross_returns_perha_log_lag,0.184709452,0.031719433,5.823226761,6.39942E-09,0.257339901,0.198728872,4113,2927,92.20342976,2.073473888
2,I(gross_returns_perha_log_lag^2),0.002365839,0.003755825,0.629911992,0.528801334,,,,,,
3,pred_opex_3,-0.158741797,0.103825951,-1.528922167,0.126391796,,,,,,
4,I(pred_opex_3^2),0.055573114,0.010851381,5.121294109,3.23114E-07,,,,,,
5,pred_stock_3,0.096029903,0.072505398,1.324451774,0.185456452,,,,,,
6,I(pred_stock_3^2),-0.030990771,0.008113317,-3.819741167,0.000136366,,,,,,
7,assets_less_stock_perha_log,0.159868115,0.054734945,2.920768716,0.003518387,,,,,,
8,I(assets_less_stock_perha_log^2),0.013659332,0.005178669,2.637614497,0.008393322,,,,,,
9,output_prices,0.302392068,0.092192657,3.280001652,0.001050227,,,,,,
10,fitted_revenue,0.985342044,0.114457808,8.608779612,1.18594E-17,,,,,,
11,year,-0.026828111,0.004554918,-5.889922144,4.3036E-09,,,,,,
