,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ols.r.squared,mcelroy.r.squared,obs,df,residCor,dwtest_opex,dwtest_stock
1,eq1_(Intercept),-0.24083273,0.027831693,-8.653182946,0,-0.295396866,-0.186268595,0.543323178,0.541532688,5789,8785,0.127202994,2.007346387,1.977812658
2,eq1_gross_returns_perha_log_lag,0.020688653,0.008266168,2.502810565,0.012357151,0.0044828,0.036894505,,,,,,,
3,eq1_exp_total_perha_log_lag,0.444416234,0.015093202,29.44479465,0,0.414825956,0.474006511,,,,,,,
4,eq1_stock_opening_perha_log_lag,-0.047852727,0.011129135,-4.299770637,1.7468E-05,-0.069671436,-0.026034018,,,,,,,
5,eq1_assets_less_stock_perha_log_lag,0.173588714,0.013387762,12.96622305,0,0.147341957,0.199835471,,,,,,,
6,eq1_output_prices_lag,0.067688556,0.044117508,1.534278769,0.125033033,-0.01880398,0.154181091,,,,,,,
7,eq1_fitted_opex,1.218891097,0.203631106,5.985780467,2.32501E-09,0.81967157,1.618110624,,,,,,,
8,eq1_year,0.023673341,0.002034284,11.63718335,0,0.019685119,0.027661563,,,,,,,
9,eq2_(Intercept),-0.038096088,0.025846447,-1.47393903,0.140569741,-0.088768171,0.012575995,,,,,,,
10,eq2_gross_returns_perha_log_lag,0.009147932,0.008418668,1.086624619,0.277262427,-0.007356907,0.025652772,,,,,,,
11,eq2_exp_total_perha_log_lag,-0.045332901,0.016450813,-2.755663328,0.005881507,-0.077584798,-0.013081005,,,,,,,
12,eq2_stock_opening_perha_log_lag,0.459245565,0.014463725,31.75154113,0,0.430889363,0.487601767,,,,,,,
13,eq2_assets_less_stock_perha_log_lag,0.839359593,0.014322433,58.60453831,0,0.811280394,0.867438791,,,,,,,
14,eq2_gross_returns_perha_log_lag_2,0.002785238,0.008982816,0.310062963,0.756527801,-0.014825615,0.020396091,,,,,,,
15,eq2_exp_total_perha_log_lag_2,0.002103866,0.016546235,0.127150748,0.898826913,-0.030335106,0.034542839,,,,,,,
16,eq2_stock_opening_perha_log_lag_2,0.004751377,0.011491206,0.413479432,0.679275595,-0.017777187,0.027279941,,,,,,,
17,eq2_assets_less_stock_perha_log_lag_2,-0.384532659,0.018170869,-21.1620405,0,-0.420156734,-0.348908585,,,,,,,
18,eq2_output_prices_lag,-0.01004165,0.043439541,-0.231163817,0.817198316,-0.095205078,0.075121777,,,,,,,
19,eq2_fitted_stock,1.073305464,0.100361469,10.69439775,0,0.876546327,1.270064601,,,,,,,
20,eq2_year,0.001527451,0.001937093,0.788527283,0.430430944,-0.00227023,0.005325132,,,,,,,
