,term,estimate,std.error,statistic,p.value,ols.r.squared,adjusted.r.squared,obs,df,fstat,dw_test
1,gross_returns_perha_log_lag,0.26115482,0.021865368,11.94376532,2.41016E-32,0.145519419,0.078032848,5789,4077,63.11996937,1.972566553
2,I(gross_returns_perha_log_lag^2),-0.012376265,0.003433948,-3.604092124,0.000316989,,,,,,
3,pred_opex_3,-0.042096835,0.125999353,-0.334103581,0.738318582,,,,,,
4,I(pred_opex_3^2),0.04303206,0.012380743,3.475725135,0.000514787,,,,,,
5,pred_stock_3,0.183084849,0.086610635,2.113884143,0.034585733,,,,,,
6,I(pred_stock_3^2),-0.042127014,0.009706025,-4.340295076,1.45741E-05,,,,,,
7,assets_less_stock_perha_log,0.092023178,0.069072806,1.3322635,0.182848078,,,,,,
8,I(assets_less_stock_perha_log^2),0.019249601,0.006951184,2.769254976,0.005643878,,,,,,
9,output_prices,0.452548595,0.087025865,5.200162009,2.08885E-07,,,,,,
10,fitted_revenue,1.293853335,0.152016792,8.511252728,2.38566E-17,,,,,,
11,year,-0.009273742,0.005180532,-1.790113711,0.073509814,,,,,,
